  ,Reg #,AC #,Delivery Yr,SEAT MAP,Configuration
20S,A320,Over,water,,Non have ETOPS
738,N14230 ,3230,1999,Slimline,16F/54E+/96Y
738,N14231 ,3231,1999,Slimline,16F/54E+/96Y
738,N17233 ,3233,1999,Slimline,16F/54E+/96Y
738,N16234 ,3234,1999,Slimline,16F/54E+/96Y
738,N14237 ,3237,1999,Slimline,16F/54E+/96Y
738,N12238 ,3238,1999,Slimline,16F/54E+/96Y
738,N27239 ,3239,1999,Slimline,16F/54E+/96Y
738,N54241 ,3241,1999,Slimline,16F/54E+/96Y
738,N14242 ,3242,1999,Slimline,16F/54E+/96Y
738,N18243 ,3243,1999,Slimline,16F/54E+/96Y
738,N17244 ,3244,1999,Slimline,16F/54E+/96Y
738,N17245 ,3245,1999,Slimline,16F/54E+/96Y
738,N36247 ,3247,1999,Slimline,16F/54E+/96Y
738,N13248 ,3248,1999,Slimline,16F/54E+/96Y
738,N14250 ,3250,1999,Slimline,16F/54E+/96Y
738,N73251 ,3251,2000,Slimline,16F/54E+/96Y
738,N37252 ,3252,2000,Slimline,16F/54E+/96Y
738,N37253 ,3253,2000,Slimline,16F/54E+/96Y
738,N76254 ,3254,2000,NEXT,16F/54E+/96Y
738,N37255 ,3255,2000,Slimline,16F/54E+/96Y
738,N73256 ,3256,2000,Slimline,16F/54E+/96Y
738,N38257 ,3257,1998,NEXT,16F/54E+/96Y
738,N77258 ,3258,2000,Slimline,16F/54E+/96Y
738,N73259 ,3259,2001,NEXT,16F/54E+/96Y
73Y,Former,GUM,,3260-3277,Former
738,N33262 ,3262,2001,Slimline,16F/54E+/96Y
738,N37263 ,3263,2001,Slimline,16F/54E+/96Y
738,N33264 ,3264,2001,Slimline,16F/54E+/96Y
738,N76265 ,3265,2001,NEXT,16F/54E+/96Y
738,N33266 ,3266,2001,Slimline,16F/54E+/96Y
738,N37267 ,3267,2001,NEXT,16F/54E+/96Y
738,N38268 ,3268,2001,Slimline,16F/54E+/96Y
738,N76269 ,3269,2001,NEXT,16F/54E+/96Y
738,N35271 ,3271,2001,NEXT,16F/54E+/96Y
738,N36272 ,3272,2001,Slimline,16F/54E+/96Y
738,N37273 ,3273,2001,NEXT,16F/54E+/96Y
738,N37274 ,3274,2001,Slimline,16F/54E+/96Y
738,N73275 ,3275,2001,Slimline,16F/54E+/96Y
738,N73276 ,3276,2002,NEXT,16F/54E+/96Y
738,N37277 ,3277,2002,Slimline,16F/54E+/96Y
738,N73283 ,3283,2004,Slimline,16F/54E+/96Y
738,N33284 ,3284,2004,Slimline,16F/54E+/96Y
738,N78285 ,3285,2004,Slimline,16F/54E+/96Y
738,N33286 ,3286,2004,NEXT,16F/54E+/96Y
738,N37287 ,3287,2004,Slimline,16F/54E+/96Y
738,N76288 ,3288,2004,NEXT,16F/54E+/96Y
738,N33289 ,3289,2004,Slimline,16F/54E+/96Y
738,N37290 ,3290,2004,Slimline,16F/54E+/96Y
738,N73291 ,3291,2004,Slimline,16F/54E+/96Y
738,N33292 ,3292,2004,Slimline,16F/54E+/96Y
738,N78501 ,3501,2006,Slimline,16F/54E+/96Y
738,N76502 ,3502,2006,Slimline,16F/54E+/96Y
738,N76503 ,3503,2006,Slimline,16F/54E+/96Y
738,N76504 ,3504,2006,Slimline,16F/54E+/96Y
738,N76505 ,3505,2006,Slimline,16F/54E+/96Y
738,N78506 ,3506,2006,Slimline,16F/54E+/96Y
 73Q,, ,with,SFP,
738,N87507 ,3507,2008,Slimline,16F/54E+/96Y
738,N76508 ,3508,2008,NEXT,16F/54E+/96Y
738,N78509 ,3509,2008,Slimline,16F/54E+/96Y
738,N77510 ,3510,2008,Slimline,16F/54E+/96Y
738,N78511 ,3511,2008,Slimline,16F/54E+/96Y
738,N87512 ,3512,2008,Slimline,16F/54E+/96Y
738,N87513 ,3513,2008,Slimline,16F/54E+/96Y
738,N76514 ,3514,2008,Slimline,16F/54E+/96Y
738,N76515 ,3515,2008,Slimline,16F/54E+/96Y
738,N76516 ,3516,2008,Slimline,16F/54E+/96Y
738,N76517 ,3517,2008,Slimline,16F/54E+/96Y
738,N77518 ,3518,2008,Slimline,16F/54E+/96Y
738,N76519 ,3519,2010,Slimline,16F/48E+/102Y
738,N77520 ,3520,2010,Slimline,16F/48E+/102Y
738,N79521 ,3521,2010,Slimline,16F/48E+/102Y
738,N76522 ,3522,2010,Slimline,16F/48E+/102Y
738,N76523 ,3523,2010,Slimline,16F/48E+/102Y
738,N78524 ,3524,2010,Slimline,16F/48E+/102Y
738,N77525 ,3525,2010,Slimline,16F/48E+/102Y
738,N76526 ,3526,2010,Slimline,16F/48E+/102Y
738,N87527 ,3527,2010,Slimline,16F/48E+/102Y
73Q,,,with,Sky Interior, 
738,N76528 ,3528,2011,Slimline Sky,16F/48E+/102Y
738,N76529 ,3529,2010,Slimline Sky,16F/48E+/102Y
738,N77530 ,3530,2011,Slimline Sky,16F/48E+/102Y
738,N87531 ,3531,2011,Slimline Sky,16F/48E+/102Y
 73Q,,,with,Space Bins,
738,N76532 ,3532,2016,Slimline Sky,16F/48E+/102Y
738,N76533 ,3533,2016,Slimline Sky,16F/48E+/102Y
738,N86534 ,3534,2016,Slimline Sky,16F/48E+/102Y
738,N77535 ,3535,2016,Slimline Sky,16F/48E+/102Y
738,N77536 ,3536,2016,Slimline Sky,16F/48E+/102Y
738,N77537 ,3537,2016,Slimline Sky,16F/48E+/102Y
738,N77538 ,3538,2016,Slimline Sky,16F/48E+/102Y
738,N77539 ,3539,2017,Slimline Sky,16F/48E+/102Y
738,N78540 ,3540,2017,Slimline Sky,16F/48E+/102Y
