time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
2023-05-24,13.308333333333335,77.29166666666667,0.0,1012.25,1012.15,58.791666666666664,16.458333333333332
2023-05-25,13.266666666666666,79.54166666666667,0.0,1011.6750000000001,1011.5749999999999,73.33333333333333,18.4875
2023-05-26,13.575000000000001,79.5,0.008333333333333333,1014.1750000000001,1014.0749999999999,65.08333333333333,15.854166666666666
2023-05-27,13.125,82.16666666666667,0.0,1015.2208333333333,1015.1208333333334,81.58333333333333,18.204166666666666
2023-05-28,12.975,83.75,0.0,1013.4416666666666,1013.3416666666667,94.08333333333333,19.95
2023-05-29,14.075000000000001,77.33333333333333,0.0,1014.0166666666668,1013.9166666666666,61.458333333333336,18.104166666666668
2023-05-30,13.883333333333333,78.33333333333333,0.0,1014.9875000000001,1014.8874999999999,44.458333333333336,16.325
2023-05-31,13.095833333333333,79.29166666666667,0.0,1012.8541666666666,1012.7541666666666,58.125,19.591666666666665
2023-06-01,13.508333333333333,79.33333333333333,0.0,1012.3291666666668,1012.2291666666666,21.375,18.287499999999998
2023-06-02,13.674999999999999,80.58333333333333,0.0,1015.1041666666666,1015.0041666666666,13.083333333333334,16.691666666666666
2023-06-03,14.191666666666668,78.5,0.0,1013.5041666666666,1013.4041666666667,16.583333333333332,17.354166666666668
2023-06-04,14.366666666666667,80.91666666666667,0.0,1010.6416666666668,1010.5416666666666,32.125,18.4875
2023-06-05,13.575000000000001,83.875,0.0,1009.5958333333333,1009.4958333333334,90.08333333333333,23.59166666666667
2023-06-06,15.283333333333333,79.58333333333333,0.0,1010.4499999999999,1010.35,70.54166666666667,20.158333333333335
2023-06-07,15.429166666666667,78.75,0.0,1014.3958333333334,1014.2958333333332,59.541666666666664,16.391666666666666
2023-06-08,14.970833333333333,82.125,0.0,1017.0,1016.9,37.208333333333336,13.008333333333333
2023-06-09,14.058333333333332,80.79166666666667,0.0,1016.8333333333334,1016.7333333333332,90.16666666666667,15.545833333333334
2023-06-10,13.170833333333334,82.54166666666667,0.0,1013.4708333333333,1013.3708333333334,87.29166666666667,17.3125
2023-06-11,14.0625,81.54166666666667,0.0,1011.1291666666666,1011.0291666666667,84.95833333333333,19.783333333333335
2023-06-12,15.229166666666666,76.70833333333333,0.008333333333333333,1015.5916666666667,1015.4916666666667,63.791666666666664,20.291666666666668
2023-06-13,14.741666666666667,80.08333333333333,0.0,1016.7208333333333,1016.6208333333334,68.29166666666667,15.470833333333333
2023-06-14,14.083333333333334,84.08333333333333,0.0,1013.1958333333333,1013.0958333333333,86.91666666666667,18.224999999999998
2023-06-15,14.645833333333334,80.08333333333333,0.0,1012.0,1011.9,58.166666666666664,18.7375
2023-06-16,15.241666666666667,82.04166666666667,0.0,1014.6875,1014.5875,45.75,19.445833333333333
2023-06-17,14.870833333333332,83.79166666666667,0.0,1015.0,1014.9,66.75,18.412499999999998
2023-06-18,14.958333333333334,75.375,0.0,1012.4458333333333,1012.3458333333333,18.333333333333332,29.3125
2023-06-19,13.766666666666667,75.33333333333333,0.0,1016.1458333333334,1016.0458333333332,6.916666666666667,32.96666666666667
2023-06-20,13.875,75.5,0.0,1019.7166666666667,1019.6166666666667,0.25,20.029166666666665
2023-06-21,13.512500000000001,82.04166666666667,0.0,1017.1708333333332,1017.0708333333333,11.958333333333334,19.325
2023-06-22,14.345833333333333,79.5,0.016666666666666666,1014.3208333333333,1014.2208333333333,79.04166666666667,18.575
2023-06-23,14.708333333333334,78.625,0.004166666666666667,1017.4541666666668,1017.3541666666666,67.91666666666667,17.070833333333333
2023-06-24,14.133333333333333,80.16666666666667,0.0,1018.4041666666667,1018.3041666666667,80.66666666666667,20.191666666666666
2023-06-25,13.783333333333333,81.625,0.004166666666666667,1018.9208333333332,1018.8208333333333,93.25,19.679166666666667
2023-06-26,13.799999999999999,82.16666666666667,0.0,1016.3208333333333,1016.2208333333333,83.75,22.666666666666668
2023-06-27,13.5625,83.33333333333333,0.0,1013.5458333333332,1013.4458333333333,88.08333333333333,22.295833333333334
2023-06-28,13.262500000000001,84.58333333333333,0.0,1013.8375,1013.7375000000001,89.04166666666667,21.479166666666668
2023-06-29,14.125,82.70833333333333,0.0,1013.8166666666666,1013.7166666666667,57.041666666666664,17.625
2023-06-30,15.4,78.125,0.0,1012.85,1012.75,25.791666666666668,16.183333333333334
2023-07-01,18.141666666666666,69.25,0.0,1012.1583333333333,1012.0583333333334,28.333333333333332,12.674999999999999
2023-07-02,19.4875,64.16666666666667,0.0,1011.6083333333332,1011.5083333333333,33.375,14.220833333333333
2023-07-03,15.195833333333333,83.375,0.0,1012.7291666666666,1012.6291666666666,75.79166666666667,19.316666666666666
2023-07-04,14.679166666666667,81.08333333333333,0.0,1013.6,1013.5,58.833333333333336,17.620833333333334
2023-07-05,14.762500000000001,81.25,0.0,1014.3249999999999,1014.225,77.33333333333333,18.516666666666666
2023-07-06,14.670833333333334,82.83333333333333,0.0,1013.7875,1013.6875,87.33333333333333,17.754166666666666
2023-07-07,14.045833333333334,81.125,0.0,1013.1791666666667,1013.0791666666668,65.875,27.59583333333333
2023-07-08,13.708333333333334,81.33333333333333,0.0,1013.9375,1013.8375,68.125,31.579166666666666
2023-07-09,14.508333333333333,80.08333333333333,0.0,1015.375,1015.275,82.54166666666667,26.566666666666666
